3, No+AC0-lagromory, Lagromory 20+AC0-3, Lagr20+AC0-3 plus cplex cuts
bin_rand_perc040_015_010_010_002_10_07.lp, 3.625215, 1930.941331, 3.151008
bin_rand_perc040_015_010_010_002_10_08.lp, 325.584808, 920.224599, 2487.608089
bin_rand_perc040_015_010_010_002_10_09.lp, 165.109388, 393.063475, 13.783657
bin_rand_perc040_015_010_010_004_10_00.lp, 146.668856, 31.158948, 26.72047
bin_rand_perc040_015_010_010_004_10_01.lp, 3600.00264, 3600.003933, 3600.013555
bin_rand_perc040_015_010_010_004_10_02.lp, 14.258422, 3600.001428, 24.007923
bin_rand_perc040_015_010_010_004_10_03.lp, 38.192284, 254.318133, 69.284431
bin_rand_perc040_015_010_010_004_10_04.lp, 5.611906, 12.400781, 7.316395
bin_rand_perc040_015_010_010_004_10_05.lp, 318.299556, 1269.333981, 138.999404
bin_rand_perc040_015_010_010_004_10_06.lp, 180.027981, 3600.001026, 1674.95812
bin_rand_perc040_015_010_010_004_10_07.lp, 16.915469, 20.587959, 272.408765
bin_rand_perc040_015_010_010_004_10_08.lp, 2358.171026, 1041.085843, 567.814168
bin_rand_perc040_015_010_010_004_10_09.lp, 3600.002611, 3600.002511, 2854.982983
bin_rand_perc050_015_005_010_001_10_00.lp, 0.821713, 2.728087, 2.520085
bin_rand_perc050_015_005_010_001_10_01.lp, 0.958749, 12.779907, 2.401354
bin_rand_perc050_015_005_010_001_10_02.lp, 33.261706, 63.152416, 19.691383
bin_rand_perc050_015_005_010_001_10_03.lp, 3600.005263, 47.472017, 46.033017
bin_rand_perc050_015_005_010_001_10_04.lp, 1.417535, 1.45357, 1.407601
bin_rand_perc050_015_005_010_001_10_05.lp, 0.856751, 8.01541, 2.531083
bin_rand_perc050_015_005_010_001_10_06.lp, 0.806471, 3.328891, 2.16754
bin_rand_perc050_015_005_010_001_10_07.lp, 3600.013098, 2959.305997, 1968.738489
bin_rand_perc050_015_005_010_001_10_08.lp, 0.727559, 5.560229, 2.973384
bin_rand_perc050_015_005_010_001_10_09.lp, 14.5308, 132.157458, 70.245767
bin_rand_perc050_015_005_010_002_10_00.lp, 1.827273, 2.716663, 2.513454
bin_rand_perc050_015_005_010_002_10_01.lp, 79.13319, 84.255882, 16.808144
